epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,236.419,0.51204,0.35855,0.90506,0.97977,1,0.995,0.86696,0.53607,0.31223,0.85464,0.0007526,0.0007526,0.0007526
65,239.26,0.5383,0.36907,0.91727,0.99704,1,0.995,0.87092,0.53399,0.29557,0.85316,0.0007328,0.0007328,0.0007328
66,242.355,0.5304,0.36105,0.89028,1,0.99788,0.995,0.86093,0.57506,0.32713,0.86427,0.000713,0.000713,0.000713
67,245.127,0.54813,0.36366,0.90487,0.99785,1,0.995,0.87793,0.52381,0.29044,0.85411,0.0006932,0.0006932,0.0006932
68,247.902,0.50203,0.3598,0.90315,0.99818,1,0.995,0.88816,0.51149,0.30615,0.84162,0.0006734,0.0006734,0.0006734
69,250.73,0.50351,0.34915,0.90029,0.9984,1,0.995,0.89916,0.4915,0.2952,0.83756,0.0006536,0.0006536,0.0006536
70,253.724,0.52683,0.35945,0.91066,0.99879,1,0.995,0.88291,0.52932,0.29923,0.84212,0.0006338,0.0006338,0.0006338
71,256.471,0.49603,0.33903,0.89304,0.99887,1,0.995,0.89451,0.50467,0.29088,0.83973,0.000614,0.000614,0.000614
72,259.283,0.54994,0.37327,0.91684,0.99884,1,0.995,0.86706,0.54666,0.29706,0.84851,0.0005942,0.0005942,0.0005942
73,262.202,0.53288,0.35793,0.91435,0.99877,1,0.995,0.88593,0.50102,0.27159,0.84136,0.0005744,0.0005744,0.0005744
74,265.023,0.48869,0.34037,0.8834,0.99878,1,0.995,0.88641,0.50261,0.28246,0.83904,0.0005546,0.0005546,0.0005546
75,267.856,0.52574,0.35622,0.89775,0.99887,1,0.995,0.88932,0.48711,0.27741,0.83101,0.0005348,0.0005348,0.0005348
76,270.72,0.49382,0.34526,0.90027,0.99889,1,0.995,0.88967,0.4803,0.2613,0.83971,0.000515,0.000515,0.000515
77,273.619,0.47896,0.33246,0.89619,0.9979,1,0.995,0.89841,0.46729,0.26616,0.83598,0.0004952,0.0004952,0.0004952
78,276.716,0.52176,0.34213,0.92048,0.9978,1,0.995,0.8879,0.47518,0.27444,0.83804,0.0004754,0.0004754,0.0004754
79,279.56,0.48429,0.30813,0.88055,0.99868,1,0.995,0.89704,0.47842,0.26859,0.8334,0.0004556,0.0004556,0.0004556
80,282.319,0.49188,0.32943,0.90464,0.9989,1,0.995,0.89368,0.47586,0.27046,0.82797,0.0004358,0.0004358,0.0004358
81,285.185,0.481,0.32151,0.88449,0.99887,1,0.995,0.89649,0.46544,0.2597,0.83044,0.000416,0.000416,0.000416
82,287.89,0.49198,0.32993,0.90264,0.99874,1,0.995,0.89046,0.4858,0.26613,0.83467,0.0003962,0.0003962,0.0003962
83,290.729,0.53273,0.34692,0.92401,0.99892,1,0.995,0.88534,0.49891,0.26374,0.83864,0.0003764,0.0003764,0.0003764
84,293.538,0.50684,0.32402,0.91454,0.99891,1,0.995,0.88522,0.52239,0.25906,0.85301,0.0003566,0.0003566,0.0003566
85,296.295,0.48704,0.31938,0.88642,0.99864,1,0.995,0.88265,0.51019,0.26117,0.83834,0.0003368,0.0003368,0.0003368
86,298.999,0.47995,0.30986,0.89113,0.99856,1,0.995,0.8883,0.50687,0.26139,0.83652,0.000317,0.000317,0.000317
87,301.854,0.4585,0.30004,0.89081,0.99839,1,0.995,0.89448,0.48456,0.26603,0.84338,0.0002972,0.0002972,0.0002972
88,304.566,0.48299,0.30759,0.87902,0.99848,1,0.995,0.88904,0.48231,0.25569,0.83533,0.0002774,0.0002774,0.0002774
89,307.322,0.5162,0.32547,0.91797,0.99861,1,0.995,0.90199,0.47707,0.26,0.83193,0.0002576,0.0002576,0.0002576
