frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
272,9568683.964,02:39:28.684,30.000,640,480,1,5
273,9568715.931,02:39:28.716,30.000,640,480,1,2
274,9568747.912,02:39:28.748,30.000,640,480,1,4
275,9568783.973,02:39:28.784,30.000,640,480,1,3
276,9568815.978,02:39:28.816,30.000,640,480,1,2
277,9568847.940,02:39:28.848,30.000,640,480,1,4
278,9568879.955,02:39:28.880,30.000,640,480,1,5
279,9568911.911,02:39:28.912,30.000,640,480,1,4
280,9568947.964,02:39:28.948,30.000,640,480,1,4
281,9568979.951,02:39:28.980,30.000,640,480,1,4
282,9569011.963,02:39:29.012,30.000,640,480,1,4
283,9569043.910,02:39:29.044,30.000,640,480,1,4
284,9569075.992,02:39:29.076,30.000,640,480,1,5
285,9569111.955,02:39:29.112,30.000,640,480,1,6
286,9569143.994,02:39:29.144,30.000,640,480,1,3
287,9569175.901,02:39:29.176,30.000,640,480,1,4
288,9569207.944,02:39:29.208,30.000,640,480,1,4
289,9569239.947,02:39:29.240,30.000,640,480,1,3
290,9569275.966,02:39:29.276,30.000,640,480,1,5
291,9569307.991,02:39:29.308,30.000,640,480,1,3
292,9569339.909,02:39:29.340,30.000,640,480,1,4
293,9569371.902,02:39:29.372,30.000,640,480,1,3
294,9569403.898,02:39:29.404,30.000,640,480,1,6
295,9569439.939,02:39:29.440,30.000,640,480,1,4
296,9569471.942,02:39:29.472,30.000,640,480,1,4
297,9569503.930,02:39:29.504,30.000,640,480,1,7
298,9569535.943,02:39:29.536,30.000,640,480,1,5
299,9569567.935,02:39:29.568,30.000,640,480,1,4
300,9569603.942,02:39:29.604,30.000,640,480,1,6
301,9569635.953,02:39:29.636,30.000,640,480,1,5
302,9569667.927,02:39:29.668,30.000,640,480,1,4
303,9569699.900,02:39:29.700,30.000,640,480,1,6
304,9569735.952,02:39:29.736,30.000,640,480,1,6
305,9569767.930,02:39:29.768,30.000,640,480,1,5
306,9569799.961,02:39:29.800,30.000,640,480,1,4
307,9569831.971,02:39:29.832,30.000,640,480,1,4
308,9569863.950,02:39:29.864,30.000,640,480,1,4
309,9569899.930,02:39:29.900,30.000,640,480,1,4
310,9569931.943,02:39:29.932,30.000,640,480,1,4
311,9569964.025,02:39:29.964,30.000,640,480,1,6
312,9569995.984,02:39:29.996,30.000,640,480,1,5
313,9570027.935,02:39:30.028,30.000,640,480,1,6
314,9570063.952,02:39:30.064,30.000,640,480,1,5
315,9570096.009,02:39:30.096,30.000,640,480,1,4
316,9570127.938,02:39:30.128,30.000,640,480,1,5
317,9570159.908,02:39:30.160,30.000,640,480,1,5
318,9570191.971,02:39:30.192,30.000,640,480,1,5
319,9570228.015,02:39:30.228,30.000,640,480,1,5
320,9570260.020,02:39:30.260,30.000,640,480,1,6
321,9570291.967,02:39:30.292,30.000,640,480,1,5
322,9570323.929,02:39:30.324,30.000,640,480,1,4
323,9570355.948,02:39:30.356,30.000,640,480,1,4
324,9570391.968,02:39:30.392,30.000,640,480,1,5
325,9570423.931,02:39:30.424,30.000,640,480,1,6
326,9570455.925,02:39:30.456,30.000,640,480,1,4
327,9570487.924,02:39:30.488,30.000,640,480,1,5
328,9570519.900,02:39:30.520,30.000,640,480,1,6
329,9570555.987,02:39:30.556,30.000,640,480,1,5
330,9570587.931,02:39:30.588,30.000,640,480,1,5
331,9570619.916,02:39:30.620,30.000,640,480,1,5
332,9570651.933,02:39:30.652,30.000,640,480,1,8
333,9570683.913,02:39:30.684,30.000,640,480,1,4
334,9570719.940,02:39:30.720,30.000,640,480,1,4
335,9570751.980,02:39:30.752,30.000,640,480,1,5
336,9570783.936,02:39:30.784,30.000,640,480,1,5
337,9570815.943,02:39:30.816,30.000,640,480,1,5
338,9570847.920,02:39:30.848,30.000,640,480,1,4
339,9570883.934,02:39:30.884,30.000,640,480,1,4
340,9570916.007,02:39:30.916,30.000,640,480,1,5
341,9570947.940,02:39:30.948,30.000,640,480,1,5
342,9570979.884,02:39:30.980,30.000,640,480,1,6
343,9571011.967,02:39:31.012,30.000,640,480,1,6
344,9571047.982,02:39:31.048,30.000,640,480,1,5
345,9571079.989,02:39:31.080,30.000,640,480,1,5
346,9571111.889,02:39:31.112,30.000,640,480,1,6
347,9571143.970,02:39:31.144,30.000,640,480,1,5
348,9571179.924,02:39:31.180,30.000,640,480,1,5
349,9571211.958,02:39:31.212,30.000,640,480,1,5
350,9571243.933,02:39:31.244,30.000,640,480,1,5
351,9571275.961,02:39:31.276,30.000,640,480,1,5
352,9571307.921,02:39:31.308,30.000,640,480,1,4
353,9571343.998,02:39:31.344,30.000,640,480,1,5
354,9571375.938,02:39:31.376,30.000,640,480,1,5
355,9571407.979,02:39:31.408,30.000,640,480,1,6
356,9571439.910,02:39:31.440,30.000,640,480,1,5
357,9571471.976,02:39:31.472,30.000,640,480,1,6
358,9571507.933,02:39:31.508,30.000,640,480,1,5
359,9571539.934,02:39:31.540,30.000,640,480,1,5
360,9571571.948,02:39:31.572,30.000,640,480,1,5
361,9571603.893,02:39:31.604,30.000,640,480,1,7
362,9571635.923,02:39:31.636,30.000,640,480,1,5
363,9571672.012,02:39:31.672,30.000,640,480,1,4
364,9571703.957,02:39:31.704,30.000,640,480,1,4
365,9571735.929,02:39:31.736,30.000,640,480,1,5
366,9571767.882,02:39:31.768,30.000,640,480,1,5
367,9571799.963,02:39:31.800,30.000,640,480,1,6
368,9571835.940,02:39:31.836,30.000,640,480,1,5
369,9571867.985,02:39:31.868,30.000,640,480,1,4
370,9571899.888,02:39:31.900,30.000,640,480,1,5
371,9571931.901,02:39:31.932,30.000,640,480,1,5
372,9571963.930,02:39:31.964,30.000,640,480,1,6
373,9572000.008,02:39:32.000,30.000,640,480,1,3
374,9572031.979,02:39:32.032,30.000,640,480,1,5
375,9572063.886,02:39:32.064,30.000,640,480,1,6
376,9572095.880,02:39:32.096,30.000,640,480,1,5
377,9572127.880,02:39:32.128,30.000,640,480,1,5
378,9572163.991,02:39:32.164,30.000,640,480,1,5
379,9572195.923,02:39:32.196,30.000,640,480,1,5
380,9572227.871,02:39:32.228,30.000,640,480,1,5
381,9572259.881,02:39:32.260,30.000,640,480,1,6
382,9572291.908,02:39:32.292,30.000,640,480,1,5
383,9572327.960,02:39:32.328,30.000,640,480,1,6
384,9572359.979,02:39:32.360,30.000,640,480,1,4
385,9572391.916,02:39:32.392,30.000,640,480,1,6
386,9572423.955,02:39:32.424,30.000,640,480,1,5
387,9572459.938,02:39:32.460,30.000,640,480,1,5
388,9572491.981,02:39:32.492,30.000,640,480,1,6
389,9572523.918,02:39:32.524,30.000,640,480,1,5
390,9572555.878,02:39:32.556,30.000,640,480,1,5
391,9572587.954,02:39:32.588,30.000,640,480,1,7
392,9572623.929,02:39:32.624,30.000,640,480,1,5
393,9572655.933,02:39:32.656,30.000,640,480,1,7
394,9572687.945,02:39:32.688,30.000,640,480,1,6
395,9572719.920,02:39:32.720,30.000,640,480,1,5
396,9572751.875,02:39:32.752,30.000,640,480,1,5
397,9572787.955,02:39:32.788,30.000,640,480,1,5
398,9572819.956,02:39:32.820,30.000,640,480,1,5
399,9572851.982,02:39:32.852,30.000,640,480,1,5
400,9572883.872,02:39:32.884,30.000,640,480,1,5
401,9572915.895,02:39:32.916,30.000,640,480,1,5
402,9572951.941,02:39:32.952,30.000,640,480,1,5
403,9572983.934,02:39:32.984,30.000,640,480,1,5
404,9573015.922,02:39:33.016,30.000,640,480,1,5
405,9573047.899,02:39:33.048,30.000,640,480,1,5
406,9573079.901,02:39:33.080,30.000,640,480,1,5
407,9573115.938,02:39:33.116,30.000,640,480,1,6
408,9573147.944,02:39:33.148,30.000,640,480,1,5
409,9573179.907,02:39:33.180,30.000,640,480,1,4
410,9573211.909,02:39:33.212,30.000,640,480,1,5
411,9573243.892,02:39:33.244,30.000,640,480,1,4
412,9573279.902,02:39:33.280,30.000,640,480,1,5
413,9573311.976,02:39:33.312,30.000,640,480,1,4
414,9573343.901,02:39:33.344,30.000,640,480,1,4
415,9573375.905,02:39:33.376,30.000,640,480,1,5
416,9573407.952,02:39:33.408,30.000,640,480,1,5
417,9573443.942,02:39:33.444,30.000,640,480,1,6
418,9573475.981,02:39:33.476,30.000,640,480,1,4
419,9573507.946,02:39:33.508,30.000,640,480,1,4
420,9573539.922,02:39:33.540,30.000,640,480,1,5
421,9573571.867,02:39:33.572,30.000,640,480,1,5
422,9573607.928,02:39:33.608,30.000,640,480,1,3
423,9573639.967,02:39:33.640,30.000,640,480,1,5
424,9573671.927,02:39:33.672,30.000,640,480,1,4
425,9573703.902,02:39:33.704,30.000,640,480,1,4
426,9573735.962,02:39:33.736,30.000,640,480,1,5
427,9573771.941,02:39:33.772,30.000,640,480,1,6
428,9573803.954,02:39:33.804,30.000,640,480,1,4
429,9573835.862,02:39:33.836,30.000,640,480,1,7
430,9573867.889,02:39:33.868,30.000,640,480,1,6
431,9573903.899,02:39:33.904,30.000,640,480,1,5
432,9573935.926,02:39:33.936,30.000,640,480,1,6
433,9573967.917,02:39:33.968,30.000,640,480,1,5
434,9573999.875,02:39:34.000,30.000,640,480,1,6
435,9574031.878,02:39:34.032,30.000,640,480,1,5
436,9574067.895,02:39:34.068,30.000,640,480,1,5
437,9574099.937,02:39:34.100,30.000,640,480,1,6
438,9574131.980,02:39:34.132,30.000,640,480,1,6
439,9574163.926,02:39:34.164,30.000,640,480,1,7
440,9574195.907,02:39:34.196,30.000,640,480,1,6
441,9574231.971,02:39:34.232,30.000,640,480,1,5
442,9574263.979,02:39:34.264,30.000,640,480,1,7
443,9574295.954,02:39:34.296,30.000,640,480,1,5
444,9574327.855,02:39:34.328,30.000,640,480,1,5
445,9574359.931,02:39:34.360,30.000,640,480,1,5
446,9574395.937,02:39:34.396,30.000,640,480,1,5
447,9574427.963,02:39:34.428,30.000,640,480,1,5
448,9574459.892,02:39:34.460,30.000,640,480,1,5
449,9574491.936,02:39:34.492,30.000,640,480,1,5
450,9574523.960,02:39:34.524,30.000,640,480,1,6
451,9574559.970,02:39:34.560,30.000,640,480,1,5
452,9574591.924,02:39:34.592,30.000,640,480,1,5
453,9574623.849,02:39:34.624,30.000,640,480,1,6
454,9574655.877,02:39:34.656,30.000,640,480,1,5
455,9574687.920,02:39:34.688,30.000,640,480,1,4
456,9574723.935,02:39:34.724,30.000,640,480,1,5
457,9574755.918,02:39:34.756,30.000,640,480,1,7
458,9574787.921,02:39:34.788,30.000,640,480,1,6
459,9574819.883,02:39:34.820,30.000,640,480,1,7
460,9574851.910,02:39:34.852,30.000,640,480,1,5
461,9574887.907,02:39:34.888,30.000,640,480,1,6
462,9574919.953,02:39:34.920,30.000,640,480,1,5
463,9574951.845,02:39:34.952,30.000,640,480,1,6
464,9574983.866,02:39:34.984,30.000,640,480,1,6
465,9575015.893,02:39:35.016,30.000,640,480,1,7
466,9575051.977,02:39:35.052,30.000,640,480,1,4
467,9575083.927,02:39:35.084,30.000,640,480,1,5
468,9575115.919,02:39:35.116,30.000,640,480,1,5
469,9575147.877,02:39:35.148,30.000,640,480,1,7
470,9575179.877,02:39:35.180,30.000,640,480,1,6
471,9575215.887,02:39:35.216,30.000,640,480,1,6
472,9575247.894,02:39:35.248,30.000,640,480,1,9
473,9575279.846,02:39:35.280,30.000,640,480,1,4
474,9575311.922,02:39:35.312,30.000,640,480,1,7
475,9575347.911,02:39:35.348,30.000,640,480,1,6
476,9575379.881,02:39:35.380,30.000,640,480,1,5
477,9575411.937,02:39:35.412,30.000,640,480,1,8
478,9575443.926,02:39:35.444,30.000,640,480,1,6
479,9575475.849,02:39:35.476,30.000,640,480,1,6
480,9575511.903,02:39:35.512,30.000,640,480,1,5
481,9575543.903,02:39:35.544,30.000,640,480,1,6
482,9575575.945,02:39:35.576,30.000,640,480,1,4
483,9575607.905,02:39:35.608,30.000,640,480,1,5
484,9575639.875,02:39:35.640,30.000,640,480,1,5
485,9575675.921,02:39:35.676,30.000,640,480,1,5
486,9575707.917,02:39:35.708,30.000,640,480,1,4
487,9575739.899,02:39:35.740,30.000,640,480,1,6
488,9575771.873,02:39:35.772,30.000,640,480,1,5
489,9575803.887,02:39:35.804,30.000,640,480,1,5
490,9575839.956,02:39:35.840,30.000,640,480,1,5
