frame_index,pos_msec,pos_hhmmss,fps_meta,width,height,read_ok
58,23955450.989,06:39:15.451,30.000,640,480,1
59,23955487.000,06:39:15.487,30.000,640,480,1
60,23955519.022,06:39:15.519,30.000,640,480,1
61,23955550.960,06:39:15.551,30.000,640,480,1
62,23955582.921,06:39:15.583,30.000,640,480,1
63,23955618.967,06:39:15.619,30.000,640,480,1
64,23955650.927,06:39:15.651,30.000,640,480,1
65,23955682.969,06:39:15.683,30.000,640,480,1
66,23955714.942,06:39:15.715,30.000,640,480,1
67,23955746.915,06:39:15.747,30.000,640,480,1
68,23955783.001,06:39:15.783,30.000,640,480,1
69,23955814.920,06:39:15.815,30.000,640,480,1
70,23955846.953,06:39:15.847,30.000,640,480,1
71,23955878.886,06:39:15.879,30.000,640,480,1
72,23955910.930,06:39:15.911,30.000,640,480,1
73,23955946.935,06:39:15.947,30.000,640,480,1
74,23955979.004,06:39:15.979,30.000,640,480,1
75,23956010.952,06:39:16.011,30.000,640,480,1
76,23956042.947,06:39:16.043,30.000,640,480,1
77,23956074.902,06:39:16.075,30.000,640,480,1
78,23956110.969,06:39:16.111,30.000,640,480,1
79,23956142.926,06:39:16.143,30.000,640,480,1
80,23956174.955,06:39:16.175,30.000,640,480,1
81,23956206.908,06:39:16.207,30.000,640,480,1
82,23956238.887,06:39:16.239,30.000,640,480,1
83,23956274.955,06:39:16.275,30.000,640,480,1
84,23956306.974,06:39:16.307,30.000,640,480,1
85,23956338.925,06:39:16.339,30.000,640,480,1
86,23956370.919,06:39:16.371,30.000,640,480,1
87,23956402.891,06:39:16.403,30.000,640,480,1
88,23956438.942,06:39:16.439,30.000,640,480,1
89,23956470.941,06:39:16.471,30.000,640,480,1
90,23956502.880,06:39:16.503,30.000,640,480,1
91,23956534.920,06:39:16.535,30.000,640,480,1
92,23956566.901,06:39:16.567,30.000,640,480,1
93,23956602.958,06:39:16.603,30.000,640,480,1
94,23956634.915,06:39:16.635,30.000,640,480,1
95,23956666.876,06:39:16.667,30.000,640,480,1
96,23956698.916,06:39:16.699,30.000,640,480,1
97,23956730.931,06:39:16.731,30.000,640,480,1
98,23956766.930,06:39:16.767,30.000,640,480,1
99,23956798.992,06:39:16.799,30.000,640,480,1
100,23956830.889,06:39:16.831,30.000,640,480,1
101,23956862.966,06:39:16.863,30.000,640,480,1
102,23956894.961,06:39:16.895,30.000,640,480,1
103,23956930.931,06:39:16.931,30.000,640,480,1
104,23956962.927,06:39:16.963,30.000,640,480,1
105,23956994.875,06:39:16.995,30.000,640,480,1
106,23957026.908,06:39:17.027,30.000,640,480,1
107,23957062.965,06:39:17.063,30.000,640,480,1
108,23957094.936,06:39:17.095,30.000,640,480,1
109,23957126.936,06:39:17.127,30.000,640,480,1
110,23957158.880,06:39:17.159,30.000,640,480,1
111,23957190.893,06:39:17.191,30.000,640,480,1
112,23957226.994,06:39:17.227,30.000,640,480,1
113,23957258.951,06:39:17.259,30.000,640,480,1
114,23957290.914,06:39:17.291,30.000,640,480,1
115,23957322.912,06:39:17.323,30.000,640,480,1
116,23957354.970,06:39:17.355,30.000,640,480,1
117,23957390.955,06:39:17.391,30.000,640,480,1
118,23957422.979,06:39:17.423,30.000,640,480,1
119,23957455.012,06:39:17.455,30.000,640,480,1
120,23957486.932,06:39:17.487,30.000,640,480,1
121,23957518.902,06:39:17.519,30.000,640,480,1
