epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,286.575,0.46522,0.40532,0.93611,0.95773,0.95918,0.9685,0.91472,0.32377,0.30824,0.88693,0.0008912,0.0008912,0.0008912
58,290.081,0.45697,0.42375,0.93833,0.95755,0.95918,0.96017,0.90376,0.347,0.30341,0.89548,0.0008714,0.0008714,0.0008714
59,294.338,0.44986,0.38386,0.93562,0.95638,0.95918,0.95968,0.89838,0.34531,0.31451,0.89098,0.0008516,0.0008516,0.0008516
60,298.953,0.44523,0.39176,0.92447,0.95917,0.95886,0.95476,0.91173,0.34386,0.31554,0.90297,0.0008318,0.0008318,0.0008318
61,303.176,0.41399,0.36715,0.90245,0.95769,0.95918,0.9695,0.91056,0.31778,0.30308,0.86377,0.000812,0.000812,0.000812
62,307.041,0.50529,0.42625,0.97653,0.95673,0.95918,0.97255,0.91197,0.31704,0.31022,0.86271,0.0007922,0.0007922,0.0007922
63,311.093,0.41156,0.36408,0.89694,0.95724,0.95918,0.97003,0.909,0.35194,0.30791,0.88089,0.0007724,0.0007724,0.0007724
64,315.082,0.40289,0.36538,0.89622,0.95723,0.95918,0.96639,0.91186,0.3516,0.31515,0.92124,0.0007526,0.0007526,0.0007526
65,319.019,0.42479,0.36611,0.92347,0.95776,0.95918,0.96571,0.9123,0.34277,0.2924,0.933,0.0007328,0.0007328,0.0007328
66,322.883,0.44083,0.37208,0.9301,0.95802,0.95918,0.9736,0.9246,0.32373,0.28435,0.90033,0.000713,0.000713,0.000713
67,326.857,0.44046,0.37748,0.94203,0.95369,0.95918,0.97357,0.91232,0.31277,0.28059,0.87007,0.0006932,0.0006932,0.0006932
68,331,0.40516,0.35956,0.90024,0.95617,0.97959,0.97338,0.92422,0.29882,0.32542,0.85316,0.0006734,0.0006734,0.0006734
69,334.688,0.44738,0.38316,0.92569,0.95762,0.95918,0.96576,0.92219,0.30621,0.32997,0.85262,0.0006536,0.0006536,0.0006536
70,338.162,0.41868,0.34656,0.9251,0.95785,0.95918,0.96874,0.92377,0.30587,0.31115,0.87456,0.0006338,0.0006338,0.0006338
71,342.089,0.38932,0.38154,0.91195,0.95776,0.95918,0.97054,0.9177,0.31012,0.29599,0.89872,0.000614,0.000614,0.000614
72,345.749,0.40144,0.35726,0.91112,0.95793,0.95918,0.97124,0.93421,0.32712,0.27575,0.90127,0.0005942,0.0005942,0.0005942
73,349.675,0.42339,0.35161,0.94125,0.9571,0.95918,0.96794,0.91605,0.3299,0.29472,0.91332,0.0005744,0.0005744,0.0005744
74,353.353,0.37585,0.33153,0.90093,0.95763,0.95918,0.95827,0.92729,0.34996,0.28151,0.93652,0.0005546,0.0005546,0.0005546
75,357.621,0.42586,0.35772,0.92497,0.95746,0.95918,0.95998,0.9334,0.28882,0.27967,0.8926,0.0005348,0.0005348,0.0005348
76,361.686,0.45585,0.36165,0.97535,0.95722,0.95918,0.97069,0.92881,0.3209,0.28797,0.8981,0.000515,0.000515,0.000515
77,365.021,0.4009,0.34994,0.90777,0.93865,0.95918,0.97334,0.93848,0.31496,0.29289,0.8885,0.0004952,0.0004952,0.0004952
78,369.551,0.39424,0.34888,0.90973,0.95791,0.95918,0.98794,0.95027,0.30244,0.27089,0.89675,0.0004754,0.0004754,0.0004754
79,372.948,0.39781,0.32861,0.92588,0.958,0.95918,0.98381,0.95163,0.30084,0.27228,0.90224,0.0004556,0.0004556,0.0004556
80,376.925,0.38403,0.33938,0.90759,0.95801,0.95918,0.97882,0.94813,0.29023,0.27568,0.89936,0.0004358,0.0004358,0.0004358
81,380.825,0.3843,0.33844,0.91307,0.95786,0.95918,0.97068,0.94795,0.31911,0.27432,0.90474,0.000416,0.000416,0.000416
82,384.33,0.34972,0.329,0.88547,0.95808,0.95918,0.95772,0.93314,0.29154,0.27594,0.89763,0.0003962,0.0003962,0.0003962
83,388.483,0.37131,0.32582,0.90073,0.95802,0.95918,0.97581,0.94163,0.29296,0.2711,0.90587,0.0003764,0.0003764,0.0003764
84,392.641,0.37451,0.31354,0.90202,0.95806,0.95918,0.98565,0.9468,0.30599,0.27351,0.91964,0.0003566,0.0003566,0.0003566
85,396.628,0.35671,0.32156,0.87528,0.9579,0.95918,0.98908,0.94319,0.29095,0.26757,0.91501,0.0003368,0.0003368,0.0003368
86,400.25,0.34569,0.30409,0.8875,0.95995,0.97833,0.98588,0.94416,0.2969,0.26407,0.91447,0.000317,0.000317,0.000317
87,404.388,0.39174,0.32233,0.90211,0.96074,0.99872,0.98795,0.92947,0.30787,0.28516,0.91226,0.0002972,0.0002972,0.0002972
88,408.203,0.34504,0.32106,0.89423,0.96074,0.99877,0.98925,0.92437,0.31705,0.28049,0.91794,0.0002774,0.0002774,0.0002774
89,411.863,0.35153,0.31717,0.89311,0.95995,0.97825,0.99097,0.93362,0.30601,0.26132,0.90139,0.0002576,0.0002576,0.0002576
90,415.286,0.34984,0.32121,0.88402,0.95793,0.95918,0.98569,0.93316,0.31257,0.23627,0.92952,0.0002378,0.0002378,0.0002378
91,421.834,0.22783,0.25525,0.78483,0.95788,0.95918,0.98018,0.93013,0.31047,0.24464,0.9268,0.000218,0.000218,0.000218
92,425.826,0.23412,0.24821,0.79483,0.95796,0.95918,0.96803,0.92319,0.30516,0.26412,0.91832,0.0001982,0.0001982,0.0001982
93,429.475,0.23709,0.24762,0.80365,0.95794,0.95918,0.9668,0.92331,0.30624,0.25843,0.92344,0.0001784,0.0001784,0.0001784
94,432.089,0.22829,0.2355,0.79345,0.9579,0.95918,0.97214,0.92194,0.29862,0.25176,0.92247,0.0001586,0.0001586,0.0001586
95,434.625,0.21877,0.23155,0.79239,0.95796,0.95918,0.9766,0.92578,0.28994,0.25158,0.91633,0.0001388,0.0001388,0.0001388
96,437.175,0.2107,0.23684,0.8033,0.95805,0.95918,0.98034,0.92988,0.28618,0.25093,0.91707,0.000119,0.000119,0.000119
97,439.764,0.21508,0.24383,0.80616,0.95806,0.95918,0.98077,0.9302,0.27685,0.25279,0.91203,9.92e-05,9.92e-05,9.92e-05
98,442.485,0.2294,0.23732,0.79958,0.95805,0.95918,0.98017,0.93275,0.275,0.24855,0.91287,7.94e-05,7.94e-05,7.94e-05
99,445.038,0.21091,0.22706,0.8134,0.95804,0.95918,0.97938,0.93205,0.26911,0.24923,0.90829,5.96e-05,5.96e-05,5.96e-05
100,447.567,0.21737,0.2325,0.79174,0.95805,0.95918,0.97854,0.93353,0.26698,0.24739,0.90705,3.98e-05,3.98e-05,3.98e-05
